scenario,u,v,distance_m,speed_mps,congest_base
OSM_MEDIUM,72,120,25.084806010820873,10.518522214655338,0.4999999998333333
OSM_MEDIUM,73,82,10.484675280116036,10.368175482556211,0.4999999998333333
OSM_MEDIUM,74,76,3.606992048249448,10.52968535168059,0.3333333332222222
OSM_MEDIUM,75,77,2.7997070972563183,9.415397335573772,0.3333333332222222
OSM_MEDIUM,76,80,3.0821646032252024,10.780828385175221,0.3333333332222222
OSM_MEDIUM,77,78,2.405350349200681,10.009685626268935,0.3333333332222222
OSM_MEDIUM,78,82,1.7513683961138269,10.153425333536276,0.4999999998333333
OSM_MEDIUM,79,90,6.95363650165227,8.214079902097408,0.4999999998333333
OSM_MEDIUM,79,94,27.39169947390775,7.903845411884913,0.6666666664444444
OSM_MEDIUM,80,83,3.056317926937022,10.508540076571295,0.3333333332222222
OSM_MEDIUM,81,105,13.092204388218132,9.18987063156431,0.4999999998333333
OSM_MEDIUM,82,85,1.7604968767595828,9.102541819566301,0.4999999998333333
OSM_MEDIUM,83,84,4.134668224200863,10.170847391982498,0.3333333332222222
OSM_MEDIUM,84,86,4.140430569069708,12.421457495401212,0.3333333332222222
OSM_MEDIUM,85,87,1.7814475202181315,9.911240091110226,0.3333333332222222
OSM_MEDIUM,86,88,5.904755705198542,10.174070084934359,0.3333333332222222
OSM_MEDIUM,87,94,4.764200516281473,9.028318533884642,0.4999999998333333
OSM_MEDIUM,88,91,7.61598416856136,10.520977485247725,0.4999999998333333
OSM_MEDIUM,89,99,6.369946024531579,12.518271208118227,0.1666666666111111
OSM_MEDIUM,90,118,12.546652454548521,10.801230751834654,0.3333333332222222
OSM_MEDIUM,91,105,46.358574069728945,8.557371986073601,0.6666666664444444
OSM_MEDIUM,91,92,3.8063109750710216,10.564194267636998,0.4999999998333333
OSM_MEDIUM,92,93,3.4415822811969656,12.1823448322027,0.3333333332222222
OSM_MEDIUM,93,95,3.2097780666194264,11.19556498115696,0.3333333332222222
OSM_MEDIUM,94,101,8.601399977831466,9.1910715970276,0.6666666664444444
OSM_MEDIUM,95,97,2.816133342010422,12.286634130126718,0.3333333332222222
OSM_MEDIUM,96,103,3.35892522121355,11.914636179798554,0.3333333332222222
OSM_MEDIUM,97,98,2.836638054636578,9.910662820755448,0.3333333332222222
OSM_MEDIUM,98,102,1.976760192042524,10.08519645721963,0.3333333332222222
OSM_MEDIUM,100,104,58.80203758066764,10.906129694773949,0.3333333332222222
OSM_MEDIUM,100,150,38.18860549415178,11.20708820165193,0.3333333332222222
OSM_MEDIUM,101,125,17.887156778487444,10.218548700411613,0.4999999998333333
OSM_MEDIUM,101,107,15.738595495978526,9.49616137850948,0.4999999998333333
OSM_MEDIUM,102,106,2.240254143108503,11.884358101412278,0.3333333332222222
OSM_MEDIUM,103,127,9.882689400116567,10.989994056738364,0.3333333332222222
OSM_MEDIUM,104,117,76.4049923525912,10.589742450361728,0.3333333332222222
OSM_MEDIUM,105,110,20.57141804852077,8.630462080836542,0.4999999998333333
OSM_MEDIUM,106,115,2.5702420601628524,10.86585123420829,0.3333333332222222
OSM_MEDIUM,107,108,3.6838744063685462,12.043636829851959,0.3333333332222222
OSM_MEDIUM,108,109,3.9108474524013306,9.978935812985135,0.3333333332222222
OSM_MEDIUM,109,114,6.083735538214185,12.028516609495291,0.3333333332222222
OSM_MEDIUM,110,116,8.90614249537517,9.179338521110843,0.4999999998333333
OSM_MEDIUM,111,116,7.065102598119519,8.551677238958588,0.4999999998333333
OSM_MEDIUM,111,112,5.148340165015073,11.884653038607706,0.3333333332222222
OSM_MEDIUM,112,113,9.440654609633567,9.94319811672019,0.3333333332222222
OSM_MEDIUM,113,114,7.339129294354127,10.53610283737999,0.3333333332222222
OSM_MEDIUM,115,122,3.4981464151373203,10.669049013137755,0.3333333332222222
OSM_MEDIUM,116,119,6.076002497655076,8.673605008293679,0.4999999998333333
OSM_MEDIUM,117,147,29.002498062437322,9.462243332407258,0.4999999998333333
