u,v,length_m,lon_u,lat_u,lon_v,lat_v,speed_mps,congest_base
190,191,0.450,-3.1901450,55.9450560,-3.1901440,55.9450520,12.380235,0.250000
190,192,1.730,-3.1901450,55.9450560,-3.1901190,55.9450600,12.827219,0.250000
192,195,1.733,-3.1901190,55.9450600,-3.1900920,55.9450640,10.464338,0.250000
193,202,3.210,-3.1901100,55.9450810,-3.1900590,55.9450820,12.754975,0.250000
194,196,3.949,-3.1901080,55.9451850,-3.1900910,55.9451510,11.382005,0.250000
194,198,1.403,-3.1901080,55.9451850,-3.1900870,55.9451890,12.284374,0.250000
195,197,0.450,-3.1900920,55.9450640,-3.1900900,55.9450600,12.873095,0.250000
196,199,0.741,-3.1900910,55.9451510,-3.1900790,55.9451530,11.933225,0.250000
197,209,5.469,-3.1900900,55.9450600,-3.1900050,55.9450730,12.965584,0.250000
199,200,0.792,-3.1900790,55.9451530,-3.1900710,55.9451470,10.304993,0.250000
200,201,0.834,-3.1900710,55.9451470,-3.1900600,55.9451430,12.653330,0.250000
201,203,0.805,-3.1900600,55.9451430,-3.1900490,55.9451390,11.442617,0.250000
202,208,2.962,-3.1900590,55.9450820,-3.1900120,55.9450860,9.276060,0.500000
203,205,0.895,-3.1900490,55.9451390,-3.1900360,55.9451360,11.940585,0.250000
204,210,4.077,-3.1900450,55.9455360,-3.1899850,55.9455510,11.960552,0.375000
204,213,7.646,-3.1900450,55.9455360,-3.1899230,55.9455350,10.069295,0.375000
205,207,4.264,-3.1900360,55.9451360,-3.1900180,55.9450990,10.495761,0.250000
206,249,37.897,-3.1900340,55.9444980,-3.1894470,55.9445890,12.490779,0.250000
207,208,1.487,-3.1900180,55.9450990,-3.1900120,55.9450860,10.462970,0.500000
208,209,1.475,-3.1900120,55.9450860,-3.1900050,55.9450730,10.292798,0.500000
208,221,13.072,-3.1900120,55.9450860,-3.1898090,55.9451170,10.092869,0.500000
210,212,3.674,-3.1899850,55.9455510,-3.1899330,55.9455660,12.441334,0.250000
212,215,3.212,-3.1899330,55.9455660,-3.1898900,55.9455820,11.049730,0.375000
213,220,6.953,-3.1899230,55.9455350,-3.1898130,55.9455480,12.513866,0.250000
214,216,6.840,-3.1899010,55.9473900,-3.1898610,55.9473330,10.771484,0.500000
