tid,spawn_time,node_id,lon,lat,weight,deadline,status,assigned_vehicle,finish_time,travel_distance_m
189,754.000,472,-3.1875740,55.9474850,19.3785,1122.261,ASSIGNED,5,,0.000
190,755.500,12,-3.1948230,55.9449740,35.0207,1120.189,ASSIGNED,4,,0.000
191,756.000,355,-3.1881570,55.9466230,29.2637,1091.194,DONE,5,842.500,64.506
192,763.000,475,-3.1875400,55.9459720,9.5955,1116.812,PENDING,,,0.000
193,770.000,221,-3.1898090,55.9451170,36.3480,1106.901,ASSIGNED,4,,365.257
194,770.500,391,-3.1879110,55.9465510,11.8732,1165.625,PENDING,,,0.000
195,771.500,359,-3.1881360,55.9452750,28.2347,1058.804,DONE,5,868.000,102.622
196,772.500,82,-3.1912310,55.9454370,16.4458,1055.813,ASSIGNED,5,,0.000
197,773.500,330,-3.1883400,55.9450550,34.9996,1031.346,ASSIGNED,4,,0.000
198,782.000,497,-3.1871740,55.9457020,14.7865,1039.866,DONE,5,857.500,142.077
199,789.500,79,-3.1912420,55.9453990,11.6328,1080.956,PENDING,,,0.000
200,794.500,272,-3.1891600,55.9474870,13.9437,1086.247,PENDING,,,0.000
201,798.000,98,-3.1911330,55.9454980,7.2421,1071.923,PENDING,,,0.000
202,799.500,568,-3.1866760,55.9473670,34.3255,1006.936,DONE,4,845.000,185.267
203,802.000,50,-3.1915610,55.9466790,10.7467,1012.246,PENDING,,,0.000
204,804.500,534,-3.1868750,55.9476650,40.0977,1171.790,DONE,4,849.500,36.791
205,808.500,157,-3.1906340,55.9473740,7.4513,1120.166,DONE,4,885.500,345.955
206,812.500,85,-3.1912120,55.9454730,27.1604,1033.496,ASSIGNED,5,,0.000
207,820.500,468,-3.1875870,55.9465990,29.8753,1061.623,DONE,5,891.500,223.108
208,834.000,382,-3.1879670,55.9468520,12.4211,1081.317,PENDING,,,0.000
209,835.000,446,-3.1876980,55.9452840,7.7094,1141.010,PENDING,,,0.000
210,839.000,375,-3.1879950,55.9464050,13.4478,1110.312,PENDING,,,0.000
211,844.500,173,-3.1905020,55.9474030,17.5944,1101.312,PENDING,,,0.000
212,846.000,410,-3.1878330,55.9465340,34.7116,1058.758,DONE,2,899.500,147.110
213,851.500,244,-3.1894850,55.9458090,15.0438,1112.380,PENDING,,,0.000
214,852.000,322,-3.1884010,55.9464560,25.9916,1090.422,ASSIGNED,2,,39.308
215,854.000,290,-3.1887650,55.9474400,33.1287,1215.917,ASSIGNED,2,,0.000
216,857.500,393,-3.1878920,55.9462960,11.0687,1180.901,PENDING,,,0.000
217,861.000,39,-3.1917580,55.9452050,38.0038,1099.812,ASSIGNED,2,,0.000
218,862.500,153,-3.1906630,55.9475980,36.7221,1202.776,ASSIGNED,2,,0.000
219,863.500,93,-3.1911570,55.9455570,9.8614,1211.425,PENDING,,,0.000
220,868.500,543,-3.1868370,55.9476590,19.1498,1227.889,ASSIGNED,2,,0.000
221,873.000,387,-3.1879450,55.9464680,23.5349,1122.461,DONE,2,884.500,117.668
222,878.000,505,-3.1871060,55.9476250,7.7555,1174.700,PENDING,,,0.000
223,881.000,311,-3.1884920,55.9463920,31.6667,1279.695,PENDING,,,0.000
224,884.000,298,-3.1886610,55.9462720,13.9273,1193.570,PENDING,,,0.000
225,889.500,366,-3.1880570,55.9464720,18.0863,1245.740,PENDING,,,0.000
226,890.500,128,-3.1909480,55.9471020,32.7358,1260.637,PENDING,,,0.000
227,893.500,250,-3.1894460,55.9465320,18.5822,1274.475,PENDING,,,0.000
