node_id,lon,lat
89,-3.1911900,55.9455240
90,-3.1911860,55.9477870
91,-3.1911790,55.9471150
92,-3.1911600,55.9455910
93,-3.1911570,55.9455570
94,-3.1911550,55.9453780
95,-3.1911480,55.9455260
96,-3.1911390,55.9453540
97,-3.1911340,55.9468610
98,-3.1911330,55.9454980
99,-3.1911200,55.9453250
100,-3.1911170,55.9452900
101,-3.1911160,55.9452810
102,-3.1911150,55.9454750
103,-3.1911140,55.9452630
104,-3.1910940,55.9454530
105,-3.1910910,55.9454260
106,-3.1910910,55.9478090
107,-3.1910880,55.9467880
108,-3.1910750,55.9454380
109,-3.1910680,55.9453320
110,-3.1910620,55.9460040
111,-3.1910460,55.9454260
112,-3.1910390,55.9466490
113,-3.1910290,55.9466160
114,-3.1910210,55.9471940
115,-3.1910200,55.9465820
116,-3.1910130,55.9463300
117,-3.1910130,55.9463760
118,-3.1910120,55.9464610
119,-3.1910110,55.9465270
120,-3.1910090,55.9454160
121,-3.1910000,55.9462670
122,-3.1909960,55.9449400
123,-3.1909930,55.9471580
124,-3.1909780,55.9463200
125,-3.1909590,55.9463510
126,-3.1909570,55.9452900
127,-3.1909560,55.9454060
128,-3.1909480,55.9471020
129,-3.1909450,55.9453050
130,-3.1909390,55.9466500
131,-3.1909360,55.9449500
132,-3.1909360,55.9463830
133,-3.1909140,55.9453530
134,-3.1909060,55.9464090
135,-3.1908870,55.9454030
136,-3.1908670,55.9464330
137,-3.1908360,55.9465630
138,-3.1908130,55.9464480
139,-3.1907780,55.9454060
140,-3.1907740,55.9465250
141,-3.1907470,55.9464560
142,-3.1907410,55.9474550
143,-3.1907390,55.9475810
144,-3.1907270,55.9451940
145,-3.1907210,55.9474230
146,-3.1907050,55.9451980
147,-3.1906990,55.9464590
148,-3.1906920,55.9475110
149,-3.1906890,55.9452010
150,-3.1906870,55.9475920
151,-3.1906810,55.9473650
152,-3.1906750,55.9454100
153,-3.1906630,55.9475980
154,-3.1906570,55.9475430
155,-3.1906520,55.9450960
156,-3.1906500,55.9464580
157,-3.1906340,55.9473740
158,-3.1906310,55.9450990
159,-3.1906270,55.9474440
160,-3.1906250,55.9449960
161,-3.1906250,55.9476060
162,-3.1906240,55.9450440
163,-3.1906160,55.9449790
164,-3.1906110,55.9450200
165,-3.1906000,55.9450000
166,-3.1905970,55.9472450
167,-3.1905940,55.9464870
168,-3.1905590,55.9474830
169,-3.1905480,55.9472600
170,-3.1905430,55.9474860
171,-3.1905420,55.9473940
172,-3.1905390,55.9451150
173,-3.1905020,55.9474030
174,-3.1904610,55.9472870
175,-3.1903800,55.9454690
176,-3.1903540,55.9454230
177,-3.1903310,55.9452650
178,-3.1903260,55.9452560
179,-3.1903230,55.9453690
180,-3.1903160,55.9473320
181,-3.1902710,55.9451600
182,-3.1902640,55.9452670
183,-3.1902330,55.9452730
184,-3.1902120,55.9451700
185,-3.1902020,55.9452880
186,-3.1901980,55.9452790
187,-3.1901620,55.9444770
188,-3.1901600,55.9450750
189,-3.1901480,55.9452970
190,-3.1901450,55.9450560
191,-3.1901440,55.9450520
192,-3.1901190,55.9450600
193,-3.1901100,55.9450810
194,-3.1901080,55.9451850
195,-3.1900920,55.9450640
196,-3.1900910,55.9451510
197,-3.1900900,55.9450600
198,-3.1900870,55.9451890
199,-3.1900790,55.9451530
200,-3.1900710,55.9451470
201,-3.1900600,55.9451430
202,-3.1900590,55.9450820
203,-3.1900490,55.9451390
204,-3.1900450,55.9455360
205,-3.1900360,55.9451360
