tid,spawn_time,node_id,lon,lat,weight,deadline,status,assigned_vehicle,finish_time,travel_distance_m
327,852.000,500,-3.1871350,55.9452600,39.3415,1052.318,DONE,8,889.000,74.598
328,852.500,64,-3.1913420,55.9468710,8.7713,1114.180,EXPIRED,,,0.000
329,860.000,176,-3.1903540,55.9454230,68.5702,990.787,DONE,9,991.000,338.044
330,860.500,177,-3.1903310,55.9452650,28.3270,1156.434,DONE,0,1015.000,312.059
331,862.500,78,-3.1912530,55.9454020,24.4891,1061.147,DONE,3,1004.000,341.802
332,872.500,181,-3.1902710,55.9451600,12.9261,1078.657,EXPIRED,,,0.000
333,874.500,395,-3.1878900,55.9450820,53.9493,1154.381,DONE,1,1065.500,342.883
334,879.500,402,-3.1878710,55.9450470,8.0984,1105.345,EXPIRED,,,0.000
335,880.000,80,-3.1912410,55.9449000,15.7885,1189.132,DONE,3,1118.500,80.886
336,881.500,100,-3.1911170,55.9452900,18.2357,1025.848,EXPIRED,,,0.000
337,884.500,522,-3.1869610,55.9456440,39.4944,1213.100,DONE,2,1116.000,240.079
338,886.500,482,-3.1874040,55.9464330,9.8258,1102.057,EXPIRED,,,0.000
339,887.500,133,-3.1909140,55.9453530,57.1045,1181.370,DONE,0,1022.000,64.260
340,888.500,212,-3.1899330,55.9455660,38.3760,1099.884,DONE,2,1019.000,116.812
341,890.500,319,-3.1884320,55.9477570,22.5550,1117.121,EXPIRED,,,0.000
342,892.500,193,-3.1901100,55.9450810,40.2288,1211.029,DONE,2,1028.000,79.019
343,893.500,73,-3.1912790,55.9453790,23.9681,1209.500,DONE,4,1152.500,365.958
344,898.000,394,-3.1878910,55.9464570,60.1988,1206.446,DONE,0,972.500,121.216
345,899.000,130,-3.1909390,55.9466500,15.8990,1140.457,DONE,2,1053.500,151.839
346,908.000,379,-3.1879760,55.9468600,28.1298,1078.611,DONE,9,1027.500,108.334
347,908.500,339,-3.1882780,55.9468850,69.0036,1085.178,DONE,9,944.000,82.948
348,912.500,89,-3.1911900,55.9455240,67.5479,1239.653,DONE,3,1005.500,14.180
349,917.000,593,-3.1860560,55.9471890,10.7345,1152.761,DONE,2,1158.000,235.981
350,917.500,494,-3.1872250,55.9455190,66.7892,1049.141,DONE,3,969.000,196.005
351,919.000,334,-3.1883210,55.9468280,24.9567,1113.723,DONE,3,1073.500,72.162
352,924.500,254,-3.1893920,55.9456280,53.1191,1157.122,DONE,1,1011.000,102.655
353,926.000,457,-3.1876600,55.9452130,35.3184,1152.586,DONE,4,1097.500,250.650
354,927.000,343,-3.1882570,55.9450460,50.1645,1149.078,DONE,6,1064.000,329.448
355,927.500,54,-3.1914940,55.9467190,24.7998,1128.098,EXPIRED,,,0.000
356,929.000,411,-3.1878210,55.9475060,68.1221,1074.348,DONE,9,956.500,122.790
357,934.500,494,-3.1872250,55.9455190,14.9072,1248.967,DONE,4,1304.500,419.463
358,935.000,484,-3.1873750,55.9451930,46.8576,1207.223,DONE,6,1073.500,95.854
359,938.000,466,-3.1875880,55.9464100,24.8551,1241.319,DONE,0,1249.500,60.005
360,940.500,405,-3.1878580,55.9474940,9.9176,1219.343,DONE,6,1107.500,318.704
361,942.000,310,-3.1884930,55.9465090,60.9829,1190.267,DONE,3,949.500,39.689
362,943.500,28,-3.1921800,55.9475530,12.7398,1238.796,DONE,6,1159.500,265.482
363,946.000,346,-3.1882370,55.9476920,24.3828,1193.955,EXPIRED,,,0.000
364,952.000,518,-3.1870090,55.9459600,69.9521,1177.300,DONE,0,983.000,94.951
365,953.500,150,-3.1906870,55.9475920,37.9530,1099.951,DONE,9,1087.000,121.859
366,958.500,416,-3.1878100,55.9473330,44.0083,1141.934,DONE,2,1090.000,353.384
367,963.500,11,-3.1949480,55.9449680,13.2696,1200.700,EXPIRED,,,0.000
368,966.000,451,-3.1876880,55.9463680,10.6943,1255.525,EXPIRED,,,0.000
369,968.500,34,-3.1918730,55.9473180,28.9264,1192.569,DONE,8,1130.500,335.958
370,972.000,501,-3.1871220,55.9452340,35.9006,1265.356,DONE,0,1066.500,84.842
371,973.000,343,-3.1882570,55.9450460,18.4032,1169.228,DONE,0,1077.500,112.236
372,975.500,249,-3.1894470,55.9445890,69.3304,1275.307,DONE,1,1080.000,135.713
373,983.000,59,-3.1913930,55.9460180,43.5078,1234.825,DONE,1,1031.500,200.720
374,989.500,410,-3.1878330,55.9465340,9.0480,1220.270,EXPIRED,,,0.000
375,993.000,83,-3.1912300,55.9468370,37.1765,1240.852,DONE,9,1073.500,186.852
376,993.500,413,-3.1878190,55.9466090,32.9697,1262.003,DONE,4,1053.500,85.833
377,994.000,437,-3.1877340,55.9471990,14.0947,1136.881,EXPIRED,,,0.000
378,995.500,30,-3.1921090,55.9474120,27.9403,1327.442,DONE,8,1132.500,18.063
379,999.000,203,-3.1900490,55.9451390,27.8379,1229.175,DONE,8,1091.000,247.885
380,1000.500,102,-3.1911150,55.9454750,41.5789,1212.032,DONE,2,1038.500,99.292
381,1001.500,121,-3.1910000,55.9462670,62.4893,1147.490,DONE,6,1025.000,200.134
382,1004.000,47,-3.1916030,55.9460190,50.1913,1146.930,DONE,6,1031.500,63.194
383,1010.000,139,-3.1907780,55.9454060,61.5800,1346.824,DONE,9,1055.000,276.012
384,1015.000,18,-3.1932820,55.9478010,55.0769,1179.836,DONE,9,1115.000,293.549
385,1017.000,162,-3.1906240,55.9450440,21.9316,1302.538,DONE,9,1287.000,237.880
386,1029.500,207,-3.1900180,55.9450990,23.7902,1183.235,EXPIRED,,,0.000
387,1030.500,508,-3.1870920,55.9458240,55.5903,1179.373,DONE,0,1058.000,186.019
388,1031.500,257,-3.1893510,55.9473670,32.7932,1291.743,DONE,4,1185.500,331.993
389,1035.500,281,-3.1889250,55.9474060,42.1267,1230.832,DONE,0,1151.000,271.285
390,1036.000,564,-3.1866860,55.9473530,67.1518,1229.293,DONE,0,1121.500,413.605
391,1037.000,175,-3.1903800,55.9454690,17.9014,1239.423,EXPIRED,,,0.000
392,1038.500,365,-3.1880630,55.9469290,34.9615,1249.850,DONE,4,1070.500,183.030
393,1040.500,555,-3.1867520,55.9447300,23.1725,1190.115,EXPIRED,,,0.000
394,1041.000,249,-3.1894470,55.9445890,59.8064,1252.348,DONE,4,1115.500,168.816
395,1043.500,277,-3.1890200,55.9459970,18.6945,1235.708,EXPIRED,,,0.000
396,1045.500,290,-3.1887650,55.9474400,24.9777,1253.407,DONE,3,1164.500,364.060
397,1048.000,386,-3.1879480,55.9464040,47.7206,1249.971,DONE,8,1066.000,168.402
398,1049.000,144,-3.1907270,55.9451940,67.4788,1215.919,DONE,8,1098.500,64.011
399,1052.000,102,-3.1911150,55.9454750,64.0955,1374.520,DONE,3,1126.000,70.795
400,1058.500,426,-3.1877650,55.9464170,23.0228,1269.421,EXPIRED,,,0.000
401,1060.000,207,-3.1900180,55.9450990,55.3100,1196.210,DONE,3,1110.000,254.497
402,1063.000,219,-3.1898200,55.9472730,14.1028,1378.356,EXPIRED,,,0.000
403,1064.500,392,-3.1879060,55.9463850,32.8547,1228.750,DONE,3,1084.000,108.300
404,1068.000,268,-3.1892210,55.9473420,33.9197,1384.731,DONE,3,1266.000,87.521
405,1071.000,350,-3.1882160,55.9464430,17.1626,1382.557,EXPIRED,,,0.000
406,1072.500,404,-3.1878660,55.9474880,35.4701,1294.290,DONE,1,1203.500,3.085
407,1075.500,454,-3.1876740,55.9471780,29.6431,1274.122,DONE,9,1218.000,89.357
408,1076.500,358,-3.1881370,55.9466820,32.1859,1224.766,DONE,9,1208.500,81.330
409,1078.000,207,-3.1900180,55.9450990,21.8671,1234.232,EXPIRED,,,0.000
410,1079.000,43,-3.1916790,55.9460200,28.7152,1374.766,DONE,9,1308.500,215.414
411,1084.500,347,-3.1882330,55.9454470,14.6955,1402.252,EXPIRED,,,0.000
412,1086.500,436,-3.1877340,55.9453550,38.7761,1322.620,DONE,2,1194.500,347.012
413,1090.500,536,-3.1868690,55.9447100,32.6547,1419.914,DONE,8,1217.000,133.053
414,1091.500,422,-3.1877860,55.9463160,34.2377,1358.383,DONE,1,1185.000,154.301
415,1101.500,418,-3.1878020,55.9449190,36.3911,1430.469,DONE,2,1201.000,63.084
416,1104.500,330,-3.1883400,55.9450550,49.8581,1394.216,DONE,6,1259.500,41.240
417,1111.500,238,-3.1895320,55.9459050,61.0390,1450.136,DONE,6,1135.000,72.583
418,1112.000,415,-3.1878120,55.9466730,14.1895,1363.107,EXPIRED,,,0.000
419,1113.500,573,-3.1866370,55.9479680,53.0853,1275.396,DONE,6,1202.500,453.034
420,1120.000,384,-3.1879580,55.9449560,43.2458,1416.627,DONE,6,1255.000,499.368
421,1125.000,36,-3.1918320,55.9460280,24.3293,1365.643,DONE,0,1360.000,222.201
422,1128.500,491,-3.1872350,55.9468020,30.3536,1397.955,DONE,9,1229.500,114.988
423,1129.500,297,-3.1886680,55.9451920,68.8011,1455.192,DONE,2,1209.500,81.136
424,1131.000,289,-3.1887790,55.9450980,65.2438,1394.096,DONE,2,1212.000,18.994
425,1133.500,164,-3.1906110,55.9450200,28.3771,1278.991,DONE,0,1338.000,101.350
426,1135.000,72,-3.1912830,55.9470930,10.1246,1384.063,EXPIRED,,,0.000
427,1143.000,331,-3.1883370,55.9467090,14.2293,1396.866,EXPIRED,,,0.000
428,1144.000,531,-3.1869020,55.9449640,42.9680,1365.764,DONE,1,1254.000,413.623
429,1145.000,371,-3.1880160,55.9450600,65.3535,1435.832,DONE,8,1203.500,251.757
430,1149.500,368,-3.1880450,55.9451110,16.6509,1301.593,EXPIRED,,,0.000
431,1152.500,163,-3.1906160,55.9449790,22.2240,1415.018,DONE,1,1284.000,300.236
432,1154.500,74,-3.1912770,55.9464470,18.4814,1462.455,ASSIGNED,9,,318.017
433,1155.500,529,-3.1869140,55.9475580,20.4872,1481.601,EXPIRED,,,0.000
434,1157.500,540,-3.1868520,55.9476630,63.8619,1320.713,DONE,8,1263.500,451.298
435,1158.500,376,-3.1879930,55.9465600,57.5829,1449.995,DONE,8,1177.000,162.044
436,1165.500,543,-3.1868370,55.9476590,34.3641,1370.580,DONE,1,1210.500,67.476
437,1168.500,398,-3.1878780,55.9474620,50.0628,1497.119,DONE,1,1203.000,170.645
438,1169.000,329,-3.1883420,55.9465800,12.4703,1378.367,EXPIRED,,,0.000
439,1170.000,209,-3.1900050,55.9450730,23.3867,1375.989,EXPIRED,,,0.000
440,1172.500,69,-3.1913090,55.9454130,67.1190,1434.655,DONE,3,1230.500,117.652
441,1174.000,180,-3.1903160,55.9473320,66.6221,1448.712,DONE,3,1257.000,259.461
