u,v,length_m,lon_u,lat_u,lon_v,lat_v,speed_mps,congest_base
121,124,6.076,-3.1910000,55.9462670,-3.1909780,55.9463200,11.476666,0.375000
122,131,3.892,-3.1909960,55.9449400,-3.1909360,55.9449500,11.694832,0.250000
123,128,6.874,-3.1909930,55.9471580,-3.1909480,55.9471020,9.430959,0.500000
123,166,26.466,-3.1909930,55.9471580,-3.1905970,55.9472450,10.314115,0.500000
124,125,3.636,-3.1909780,55.9463200,-3.1909590,55.9463510,11.935353,0.250000
125,132,3.870,-3.1909590,55.9463510,-3.1909360,55.9463830,10.574031,0.250000
126,129,1.881,-3.1909570,55.9452900,-3.1909450,55.9453050,9.847170,0.500000
127,135,4.303,-3.1909560,55.9454060,-3.1908870,55.9454030,12.040684,0.250000
128,216,72.368,-3.1909480,55.9471020,-3.1898610,55.9473330,10.806684,0.500000
129,133,5.645,-3.1909450,55.9453050,-3.1909140,55.9453530,8.023880,0.625000
129,176,39.069,-3.1909450,55.9453050,-3.1903540,55.9454230,6.972300,0.750000
130,137,11.667,-3.1909390,55.9466500,-3.1908360,55.9465630,11.828548,0.250000
131,160,20.014,-3.1909360,55.9449500,-3.1906250,55.9449960,8.716094,0.500000
132,134,3.442,-3.1909360,55.9463830,-3.1909060,55.9464090,11.683513,0.250000
133,152,16.187,-3.1909140,55.9453530,-3.1906750,55.9454100,8.213926,0.500000
134,136,3.538,-3.1909060,55.9464090,-3.1908670,55.9464330,11.995418,0.250000
135,139,6.759,-3.1908870,55.9454030,-3.1907780,55.9454060,10.992185,0.250000
136,138,3.758,-3.1908670,55.9464330,-3.1908130,55.9464480,12.320361,0.250000
137,140,5.749,-3.1908360,55.9465630,-3.1907740,55.9465250,10.096286,0.250000
138,141,4.193,-3.1908130,55.9464480,-3.1907470,55.9464560,10.066509,0.250000
139,152,6.490,-3.1907780,55.9454060,-3.1906750,55.9454100,11.210290,0.375000
140,156,10.689,-3.1907740,55.9465250,-3.1906500,55.9464580,8.520026,0.500000
141,147,3.029,-3.1907470,55.9464560,-3.1906990,55.9464590,12.750260,0.250000
